,DZ2011CD,DZ11NM_19,CA19CD,CA19NM,CA16CD,CA16NM,All_Ages_2019,All_Ages_2016,pgr19_16,DataZone2011Code,DataZone2011Name,CouncilArea2011Code,CouncilArea2016Code,CouncilArea2016Name,landcover_type_19,area_2013,area_2016,area_2019,LCR2013_16,LCR2016_19,_merge,LCRPGR_19_16
0,S01006506,Culter - 01,S12000033,Aberdeen City,S12000033,Aberdeen City,867,897,-0.01133896175941808,S01006506,Culter - 01,S12000033,S12000033,Aberdeen City,Manmade,147445.63,148827.8,195653.82729699995,460.72266669999993,15608.675765666652,both,-1376552.4654585037
1,S01006507,Culter - 02,S12000033,Aberdeen City,S12000033,Aberdeen City,780,807,-0.011343249528770458,S01006507,Culter - 02,S12000033,S12000033,Aberdeen City,Manmade,69841.78,72180.4,78907.849546,779.5393333,2242.4831820000013,both,-197693.18979647566
2,S01006508,Culter - 03,S12000033,Aberdeen City,S12000033,Aberdeen City,615,640,-0.013281969515733223,S01006508,Culter - 03,S12000033,S12000033,Aberdeen City,Manmade,59986.96,61711.02,69683.064996,574.6883333,2657.348332000001,both,-200071.8589853881
3,S01006509,Culter - 04,S12000033,Aberdeen City,S12000033,Aberdeen City,508,555,-0.02949555538931755,S01006509,Culter - 04,S12000033,S12000033,Aberdeen City,Manmade,37436.7,37909.27,37909.30661,157.52466669999995,0.0122033333342794,both,-0.41373465165192647
4,S01006510,Culter - 05,S12000033,Aberdeen City,S12000033,Aberdeen City,649,671,-0.01111214008919728,S01006510,Culter - 05,S12000033,S12000033,Aberdeen City,Manmade,58443.74,64195.59,66217.96288199999,1917.280333,674.1242939999988,both,-60665.568341363156
5,S01006511,Culter - 06,S12000033,Aberdeen City,S12000033,Aberdeen City,752,776,-0.01047206541112631,S01006511,Culter - 06,S12000033,S12000033,Aberdeen City,Manmade,89234.91,91664.72,98555.841365,809.9373333,2297.0404550000003,both,-219349.32268083925
6,S01006512,Culter - 07,S12000033,Aberdeen City,S12000033,Aberdeen City,562,542,0.012078616151348271,S01006512,Culter - 07,S12000033,S12000033,Aberdeen City,Manmade,244604.34,277218.56,413977.04966,10871.40767,45586.16322000001,both,3774121.3603274804
7,S01006513,"Cults, Bieldside and Milltimber West - 01",S12000033,Aberdeen City,S12000033,Aberdeen City,881,706,0.07381412948097918,S01006513,"Cults, Bieldside and Milltimber West - 01",S12000033,S12000033,Aberdeen City,Manmade,62707.7,81325.39,90743.750115,6205.896,3139.4533716666683,both,42531.87558725676
8,S01006514,"Cults, Bieldside and Milltimber West - 02",S12000033,Aberdeen City,S12000033,Aberdeen City,1223,1126,0.027545108995845568,S01006514,"Cults, Bieldside and Milltimber West - 02",S12000033,S12000033,Aberdeen City,Manmade,197206.33,190845.6,448478.59337899997,-2120.244,85877.66445966667,both,3117710.0977389123
9,S01006515,"Cults, Bieldside and Milltimber West - 03",S12000033,Aberdeen City,S12000033,Aberdeen City,805,786,0.00796182832978558,S01006515,"Cults, Bieldside and Milltimber West - 03",S12000033,S12000033,Aberdeen City,Manmade,176062.83,195187.57,391948.40817,6374.913667,65586.94605666668,both,8237673.978890349
10,S01006516,"Cults, Bieldside and Milltimber West - 04",S12000033,Aberdeen City,S12000033,Aberdeen City,658,634,0.012385325629363756,S01006516,"Cults, Bieldside and Milltimber West - 04",S12000033,S12000033,Aberdeen City,Manmade,141319.09,144086.84,173952.78563,922.5836667000001,9955.315209999999,both,803799.2304697613
11,S01006517,"Cults, Bieldside and Milltimber West - 05",S12000033,Aberdeen City,S12000033,Aberdeen City,1264,1023,0.07051393625172543,S01006517,"Cults, Bieldside and Milltimber West - 05",S12000033,S12000033,Aberdeen City,Manmade,277345.53,284542.36,465129.577891,2398.946333,60195.73929699999,both,853671.5222095837
12,S01006518,"Cults, Bieldside and Milltimber East - 01",S12000033,Aberdeen City,S12000033,Aberdeen City,677,675,0.0009861940132484212,S01006518,"Cults, Bieldside and Milltimber East - 01",S12000033,S12000033,Aberdeen City,Manmade,98711.94,101946.59,110716.918672,1078.216667,2923.442890666668,both,2964368.9288248154
13,S01006519,"Cults, Bieldside and Milltimber East - 02",S12000033,Aberdeen City,S12000033,Aberdeen City,929,980,-0.01781461095025968,S01006519,"Cults, Bieldside and Milltimber East - 02",S12000033,S12000033,Aberdeen City,Manmade,88557.17,97180.7,100004.55673199998,2874.509333,941.2855773333284,both,-52837.84080165991
14,S01006520,"Cults, Bieldside and Milltimber East - 03",S12000033,Aberdeen City,S12000033,Aberdeen City,848,786,0.025307947787565538,S01006520,"Cults, Bieldside and Milltimber East - 03",S12000033,S12000033,Aberdeen City,Manmade,57958.41,61719.41,65605.76398500001,1253.665667,1295.4513283333365,both,51187.529672786266
15,S01006521,"Cults, Bieldside and Milltimber East - 04",S12000033,Aberdeen City,S12000033,Aberdeen City,794,793,0.0004200798707625911,S01006521,"Cults, Bieldside and Milltimber East - 04",S12000033,S12000033,Aberdeen City,Manmade,209498.38,214442.13,265903.77741999994,1647.916333,17153.882473333313,both,40834811.82326839
16,S01006522,"Cults, Bieldside and Milltimber East - 05",S12000033,Aberdeen City,S12000033,Aberdeen City,679,667,0.005943693881024145,S01006522,"Cults, Bieldside and Milltimber East - 05",S12000033,S12000033,Aberdeen City,Manmade,68472.31,72857.83,73731.20277,1461.842667,291.12425666666724,both,48980.35842594643
17,S01006523,"Cults, Bieldside and Milltimber East - 06",S12000033,Aberdeen City,S12000033,Aberdeen City,964,972,-0.002754836616631141,S01006523,"Cults, Bieldside and Milltimber East - 06",S12000033,S12000033,Aberdeen City,Manmade,103322.08,102838.99,106525.563018,-161.03066669999995,1228.8576726666652,both,-446072.7962043068
